userId,movieId,rating,timestamp
19,858,5.0,1445258693
19,58559,2.5,1445258697
19,1196,4.0,1445258728
19,2571,4.0,1445258734
19,5952,5.0,1445258747
19,7153,5.0,1445258749
19,6539,2.5,1445258751
19,5349,1.5,1445258758
19,6874,4.0,1445258761
19,109487,4.0,1445258772
19,134853,4.0,1445258774
19,116797,3.5,1445258778
19,115617,3.5,1445258783
19,593,4.0,1445258867
19,2959,3.5,1445258890
21,7153,5.0,1456284469
21,5952,5.0,1456284471
21,4993,5.0,1456284473
21,2571,5.0,1456284475
21,1210,4.0,1456284477
21,1196,4.0,1456284487
21,260,4.0,1456284490
21,68237,5.0,1456284498
21,81834,4.0,1456284500
21,88125,4.0,1456284502
21,57669,3.0,1456284507
21,134130,5.0,1456284510
21,122904,5.0,1456284512
21,134853,5.0,1456284516
21,122886,5.0,1456284519
37,46723,5.0,1456484220
37,6711,4.0,1456484239
37,6870,2.5,1456484298
37,296,5.0,1456484322
37,112290,5.0,1456484538
37,2858,5.0,1456484551
37,1222,5.0,1456484951
37,1228,5.0,1456484969
37,56782,5.0,1456484986
37,55820,5.0,1456484996
37,88129,5.0,1456485007
37,1209,5.0,1456485046
37,3160,4.5,1456485056
37,50,5.0,1456485085
37,858,4.5,1456485089
68,143969,4.0,1472113185
68,3481,4.5,1472113199
68,113240,4.0,1472113264
68,130992,4.5,1472113306
68,135436,3.5,1472113410
68,27727,4.5,1472113458
68,46098,4.5,1472113469
68,79132,3.0,1472117182
68,2571,4.5,1472117183
68,7153,3.5,1472117195
68,260,4.0,1472117198
68,4993,3.5,1472117202
68,5952,3.5,1472117206
68,296,4.0,1472117213
68,60069,4.0,1472117219
71,318,5.0,1482966492
71,1196,5.0,1482966493
71,1198,5.0,1482966494
71,260,5.0,1482966495
71,527,5.0,1482966497
71,356,5.0,1482966499
71,2571,3.0,1482966500
71,1291,5.0,1482966501
71,79132,4.0,1482966521
71,68954,4.0,1482966523
71,72998,5.0,1482966524
71,68157,5.0,1482966525
71,99114,3.0,1482966529
71,69122,4.0,1482966535
71,80463,4.0,1482966540
101,318,5.0,1448012356
101,92259,3.0,1448012364
101,2324,5.0,1448012367
101,2571,4.0,1448012373
101,2959,4.0,1448012375
101,79132,5.0,1448012377
101,6016,4.0,1448012394
101,1704,3.0,1448012400
101,1732,3.0,1448012415
101,134853,4.0,1448012421
101,115713,2.5,1448012429
101,4973,3.5,1448012477
101,356,4.0,1448012479
101,858,4.0,1448012498
101,68954,4.0,1448278199
148,318,5.0,1454942515
148,50,4.5,1454942518
148,2959,4.5,1454942520
148,858,4.5,1454942522
148,260,3.5,1454942526
148,58559,4.0,1454942528
148,1198,4.0,1454942531
148,152059,3.5,1454942540
148,19,3.0,1454942550
148,134130,4.0,1454942563
148,134853,4.0,1454942569
148,122886,4.0,1454942571
148,1196,3.5,1454942606
148,2571,5.0,1454942608
148,1197,4.0,1454942610
154,318,5.0,1463275433
154,2571,3.5,1463275441
154,79132,4.5,1463275448
154,7153,4.5,1463275458
154,2959,4.5,1463275466
154,260,4.0,1463275468
154,4993,4.5,1463275477
154,2858,5.0,1463792970
154,2762,4.0,1463792976
154,5952,4.0,1463792978
154,3578,4.5,1463792980
154,4306,4.0,1463792983
154,4226,5.0,1463792985
154,2628,2.0,1463792989
154,3793,4.5,1463792995
172,7361,4.0,1422550945
172,1088,5.0,1422550976
172,1721,5.0,1422550993
172,111921,4.5,1422551027
172,63082,4.0,1422551042
172,88179,4.5,1422551068
172,40629,4.5,1422551078
172,85438,4.0,1422551092
172,215,4.5,1422551150
172,8638,4.0,1422551161
172,100714,3.5,1422551173
172,920,5.0,1422551190
172,81591,4.5,1422551264
172,97921,4.5,1422551305
172,49286,3.5,1422551334
204,260,4.0,1426008389
204,2959,5.0,1426008389
204,4993,3.0,1426008403
204,7153,5.0,1426008404
204,5952,5.0,1426008424
204,7361,4.0,1426008430
204,6365,5.0,1426008439
204,5989,4.0,1426008446
204,32587,3.0,1426008458
204,8874,4.0,1426008466
204,8464,2.0,1426008486
204,33679,1.0,1426008499
204,8984,4.0,1426008524
204,97752,4.0,1426008541
204,112552,5.0,1426008551
208,1198,4.5,1466447323
208,2571,5.0,1466447330
208,2959,5.0,1466447337
208,160291,1.0,1466447347
208,59369,2.0,1466447362
208,77561,4.0,1466447365
208,59784,2.0,1466447367
208,134130,5.0,1466447376
208,148626,5.0,1466447381
208,122904,5.0,1466447382
208,122886,4.0,1466447390
208,160378,5.0,1466447404
208,260,4.0,1466447465
208,1196,4.0,1466447466
208,318,4.0,1466447468
210,140653,5.0,1461974387
210,3450,5.0,1461974412
210,3,5.0,1461974433
210,1265,5.0,1461974453
210,7487,5.0,1461974521
210,59725,5.0,1461974533
210,78174,5.0,1461974542
210,141842,5.0,1461974704
210,70293,5.0,1461974726
210,105,5.0,1461974739
